fecha;hora;red;serie;tema;texto;imagen;enlace
2026-08-11;12:30;instagram;NORMAS;iso-13485;"💙 ¿Qué es ISO 13485 y para qué sirve de verdad?

Sistema de gestión de calidad para fabricantes y distribuidores de productos sanitarios, alineado con los requisitos regulatorios del sector.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-13485.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-11-iso-13485
2026-08-12;12:30;instagram;EFQM;efqm-criterio2;"💙 Cultura y liderazgo, explicado sin humo.

Cultura y liderazgo: Criterio 2 del Modelo EFQM. El Modelo EFQM 2025 no es un premio, es un marco para transformar la organización con criterio.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-criterio2.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-12-efqm-criterio2
2026-08-13;12:30;instagram;NORMAS;iso-17025;"💙 ISO 17025: Competencia de laboratorios. Y esto es lo que gana tu organización.

Preparamos tu laboratorio de ensayo o calibración para la acreditación ISO 17025 ante ENAC: método, trazabilidad y validación.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-17025.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-13-iso-17025
2026-08-14;12:30;instagram;EFQM;efqm-criterio3;"💙 Implicar a los grupos de interés: lo que aporta de verdad.

Implicar a los grupos de interés. Trabajar con el Modelo EFQM te da una foto honesta de tu gestión y una hoja de ruta priorizada — el sello es la consecuencia.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-criterio3.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-14-efqm-criterio3
2026-08-15;12:30;instagram;NORMAS;iatf-16949;"💙 El error más común al implantar IATF 16949 (y cómo evitarlo).

Copiar documentación de otra empresa y esperar que cuele. El sistema debe nacer de TU actividad real, o se convierte en burocracia muerta.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iatf-16949.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-15-iatf-16949
2026-08-16;12:30;instagram;EFQM;efqm-criterio4;"💙 Crear valor sostenible: el fallo que vemos una y otra vez.

Crear valor sostenible: el error habitual es tratarlo como un trámite documental. EFQM se trabaja desde la dirección, con datos y con las personas.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-criterio4.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-16-efqm-criterio4
2026-08-17;12:30;instagram;NORMAS;marcado-ce;"💙 ¿Es Marcado CE para tu organización? Señales de que sí.

Si tus clientes (o la Administración) empiezan a pedírtelo, si has crecido y ""todo está en la cabeza de dos personas"", o si quieres diferenciarte en licitaciones: sí, es para ti.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/marcado-ce.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-17-marcado-ce
2026-08-18;12:30;instagram;EFQM;efqm-criterio5;"💙 ¿Te toca ya trabajar con el Modelo EFQM?

Funcionamiento y transformación. Si tu organización ya certifica ISO y quiere dar el salto de ""cumplir"" a ""sobresalir"", el Modelo EFQM es el siguiente paso natural.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-criterio5.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-18-efqm-criterio5
2026-08-19;12:30;instagram;NORMAS;iso-14001;"💙 ISO 14001: el primer paso es más simple de lo que crees.

Una conversación de diagnóstico: entender tu punto de partida y dimensionar el proyecto con plazos realistas. Sin compromiso.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-14001.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-19-iso-14001
2026-08-20;12:30;instagram;EFQM;efqm-criterio6;"💙 Percepción de los grupos de interés: por dónde empezar.

Percepción de los grupos de interés: Criterio 6 del Modelo EFQM. El primer paso es un Informe de GAP: medir la distancia entre tu gestión actual y el modelo, y decidir con datos.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-criterio6.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-20-efqm-criterio6
2026-08-21;12:30;instagram;NORMAS;emas;"💙 ¿Qué es EMAS y para qué sirve de verdad?

Damos el salto de ISO 14001 al registro EMAS: declaración ambiental verificada y máximo reconocimiento europeo en gestión ambiental.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/emas.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-21-emas
2026-08-22;12:30;instagram;EFQM;efqm-criterio7;"💙 Rendimiento estratégico y operativo, explicado sin humo.

Rendimiento estratégico y operativo: Criterio 7 del Modelo EFQM. El Modelo EFQM 2025 no es un premio, es un marco para transformar la organización con criterio.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-criterio7.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-22-efqm-criterio7
2026-08-23;12:30;instagram;NORMAS;huella-de-carbono;"💙 Huella de Carbono · ISO 14064: Mide y verifica tus emisiones. Y esto es lo que gana tu organización.

Calculamos tu huella de carbono de organización conforme a ISO 14064 y GHG Protocol, y te acompañamos en el registro del MITECO y la verificación.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/huella-de-carbono.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-23-huella-de-carbono
2026-08-24;12:30;instagram;EFQM;efqm-radar;"💙 La lógica RADAR: lo que aporta de verdad.

La lógica RADAR. Trabajar con el Modelo EFQM te da una foto honesta de tu gestión y una hoja de ruta priorizada — el sello es la consecuencia.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-radar.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-24-efqm-radar
2026-08-25;12:30;instagram;NORMAS;iso-14068;"💙 El error más común al implantar ISO 14068 (y cómo evitarlo).

Copiar documentación de otra empresa y esperar que cuele. El sistema debe nacer de TU actividad real, o se convierte en burocracia muerta.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-14068.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-25-iso-14068
2026-08-26;12:30;instagram;EFQM;efqm-gap;"💙 Informe de GAP: el fallo que vemos una y otra vez.

Informe de GAP: el error habitual es tratarlo como un trámite documental. EFQM se trabaja desde la dirección, con datos y con las personas.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-gap.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-26-efqm-gap
2026-08-27;12:30;instagram;NORMAS;memoria-gri;"💙 ¿Es Memoria GRI para tu organización? Señales de que sí.

Si tus clientes (o la Administración) empiezan a pedírtelo, si has crecido y ""todo está en la cabeza de dos personas"", o si quieres diferenciarte en licitaciones: sí, es para ti.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/memoria-gri.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-27-memoria-gri
2026-08-28;12:30;instagram;EFQM;efqm-autoevaluacion;"💙 ¿Te toca ya trabajar con el Modelo EFQM?

Autoevaluación EFQM. Si tu organización ya certifica ISO y quiere dar el salto de ""cumplir"" a ""sobresalir"", el Modelo EFQM es el siguiente paso natural.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-autoevaluacion.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-28-efqm-autoevaluacion
2026-08-29;12:30;instagram;NORMAS;einf;"💙 EINF: el primer paso es más simple de lo que crees.

Una conversación de diagnóstico: entender tu punto de partida y dimensionar el proyecto con plazos realistas. Sin compromiso.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/einf.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-29-einf
2026-08-30;12:30;instagram;EFQM;efqm-planes;"💙 Planes de acción: por dónde empezar.

Planes de acción: Convertir la evaluación en mejora real. El primer paso es un Informe de GAP: medir la distancia entre tu gestión actual y el modelo, y decidir con datos.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-planes.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-30-efqm-planes
2026-08-31;12:30;instagram;NORMAS;csrd;"💙 ¿Qué es CSRD y para qué sirve de verdad?

Preparamos tu organización para la directiva CSRD y los estándares ESRS: doble materialidad, datos y gobernanza del reporte.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/csrd.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-31-csrd
2026-09-01;12:30;instagram;EFQM;efqm-memoria;"💙 La memoria EFQM, explicado sin humo.

La memoria EFQM: Tu gestión, contada con evidencias. El Modelo EFQM 2025 no es un premio, es un marco para transformar la organización con criterio.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-memoria.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-01-efqm-memoria
2026-09-02;12:30;instagram;NORMAS;esg;"💙 ESG: Estrategia ambiental, social y de gobernanza. Y esto es lo que gana tu organización.

Definimos tu estrategia ESG con objetivos medibles y la conectamos con ratings, financiación sostenible y requisitos de clientes.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/esg.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-02-esg
2026-09-03;12:30;instagram;EFQM;efqm-sello;"💙 Sellos EFQM 300 · 400 · 500: lo que aporta de verdad.

Sellos EFQM 300 · 400 · 500. Trabajar con el Modelo EFQM te da una foto honesta de tu gestión y una hoja de ruta priorizada — el sello es la consecuencia.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-sello.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-03-efqm-sello
2026-09-04;12:30;instagram;NORMAS;iso-50001;"💙 El error más común al implantar ISO 50001 (y cómo evitarlo).

Copiar documentación de otra empresa y esperar que cuele. El sistema debe nacer de TU actividad real, o se convierte en burocracia muerta.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-50001.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-04-iso-50001
2026-09-05;12:30;instagram;EFQM;efqm-evaluacion-externa;"💙 Evaluación externa: el fallo que vemos una y otra vez.

Evaluación externa: el error habitual es tratarlo como un trámite documental. EFQM se trabaja desde la dirección, con datos y con las personas.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-evaluacion-externa.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-05-efqm-evaluacion-externa
2026-09-06;12:30;instagram;NORMAS;iso-14006;"💙 ¿Es ISO 14006 para tu organización? Señales de que sí.

Si tus clientes (o la Administración) empiezan a pedírtelo, si has crecido y ""todo está en la cabeza de dos personas"", o si quieres diferenciarte en licitaciones: sí, es para ti.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-14006.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-06-iso-14006
2026-09-07;12:30;instagram;EFQM;efqm-vs-iso;"💙 ¿Te toca ya trabajar con el Modelo EFQM?

EFQM e ISO 9001. Si tu organización ya certifica ISO y quiere dar el salto de ""cumplir"" a ""sobresalir"", el Modelo EFQM es el siguiente paso natural.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-vs-iso.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-07-efqm-vs-iso
2026-09-08;12:30;instagram;NORMAS;huella-hidrica;"💙 Huella Hídrica: el primer paso es más simple de lo que crees.

Una conversación de diagnóstico: entender tu punto de partida y dimensionar el proyecto con plazos realistas. Sin compromiso.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/huella-hidrica.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-08-huella-hidrica
2026-09-09;12:30;instagram;EFQM;efqm-madrid-excelente;"💙 EFQM y Madrid Excelente: por dónde empezar.

EFQM y Madrid Excelente: Dos reconocimientos que se potencian. El primer paso es un Informe de GAP: medir la distancia entre tu gestión actual y el modelo, y decidir con datos.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-madrid-excelente.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-09-efqm-madrid-excelente
2026-09-10;12:30;instagram;NORMAS;movilidad-sostenible;"💙 ¿Qué es Plan de Movilidad Sostenible y para qué sirve de verdad?

Diseñamos tu plan de movilidad sostenible al centro de trabajo: diagnóstico, medidas y seguimiento conforme a la normativa aplicable.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/movilidad-sostenible.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-10-movilidad-sostenible
2026-09-11;12:30;instagram;EFQM;efqm-beneficios;"💙 Por qué EFQM, explicado sin humo.

Por qué EFQM: Beneficios más allá del sello. El Modelo EFQM 2025 no es un premio, es un marco para transformar la organización con criterio.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-beneficios.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-11-efqm-beneficios
2026-09-12;12:30;instagram;NORMAS;pacto-mundial;"💙 Pacto Mundial: Informes de progreso ante Naciones Unidas. Y esto es lo que gana tu organización.

Te ayudamos a adherirte al Pacto Mundial y a elaborar tus informes de progreso anuales con evidencias sólidas.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/pacto-mundial.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-12-pacto-mundial
2026-09-13;12:30;instagram;EFQM;efqm-mitos;"💙 Mitos del Modelo EFQM: lo que aporta de verdad.

Mitos del Modelo EFQM. Trabajar con el Modelo EFQM te da una foto honesta de tu gestión y una hoja de ruta priorizada — el sello es la consecuencia.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-mitos.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-13-efqm-mitos
2026-09-14;12:30;instagram;NORMAS;economia-circular;"💙 El error más común al implantar Economía Circular (y cómo evitarlo).

Copiar documentación de otra empresa y esperar que cuele. El sistema debe nacer de TU actividad real, o se convierte en burocracia muerta.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Sostenibilidad #ESG #MedioAmbiente #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/economia-circular.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-14-economia-circular
2026-09-15;12:30;instagram;EFQM;efqm-primeros-pasos;"💙 Primeros pasos con EFQM: el fallo que vemos una y otra vez.

Primeros pasos con EFQM: el error habitual es tratarlo como un trámite documental. EFQM se trabaja desde la dirección, con datos y con las personas.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-primeros-pasos.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-15-efqm-primeros-pasos
2026-09-16;12:30;instagram;NORMAS;iso-27001;"💙 ¿Es ISO 27001 para tu organización? Señales de que sí.

Si tus clientes (o la Administración) empiezan a pedírtelo, si has crecido y ""todo está en la cabeza de dos personas"", o si quieres diferenciarte en licitaciones: sí, es para ti.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Ciberseguridad #ISO27001 #ENS #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-27001.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-16-iso-27001
2026-09-17;12:30;instagram;EFQM;efqm-formacion;"💙 ¿Te toca ya trabajar con el Modelo EFQM?

Formación EFQM 2025. Si tu organización ya certifica ISO y quiere dar el salto de ""cumplir"" a ""sobresalir"", el Modelo EFQM es el siguiente paso natural.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-formacion.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-17-efqm-formacion
2026-09-18;12:30;instagram;NORMAS;ens;"💙 Esquema Nacional de Seguridad: el primer paso es más simple de lo que crees.

Una conversación de diagnóstico: entender tu punto de partida y dimensionar el proyecto con plazos realistas. Sin compromiso.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Ciberseguridad #ISO27001 #ENS #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/ens.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-18-ens
2026-09-19;12:30;instagram;EFQM;efqm-modelo-2025;"💙 El Modelo EFQM 2025: por dónde empezar.

El Modelo EFQM 2025: La brújula de la transformación organizacional. El primer paso es un Informe de GAP: medir la distancia entre tu gestión actual y el modelo, y decidir con datos.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-modelo-2025.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-19-efqm-modelo-2025
2026-09-20;12:30;instagram;NORMAS;eni;"💙 ¿Qué es Esquema Nacional de Interoperabilidad y para qué sirve de verdad?

Adecuación al ENI: normas técnicas de interoperabilidad, documento electrónico y política de gestión documental.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Ciberseguridad #ISO27001 #ENS #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/eni.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-20-eni
2026-09-21;12:30;instagram;EFQM;efqm-direccion;"💙 Dimensión Dirección, explicado sin humo.

Dimensión Dirección: Propósito, visión y estrategia que orientan. El Modelo EFQM 2025 no es un premio, es un marco para transformar la organización con criterio.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-direccion.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-21-efqm-direccion
