fecha;hora;red;serie;tema;texto;imagen;enlace
2026-08-11;17:00;x;NORMAS;iso-13485;¿Qué es ISO 13485 y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-08-11-iso-13485 #Calidad #ISO9001;https://www.tuconsultor.com/social-img/iso-13485.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-11-iso-13485
2026-08-12;17:00;x;EFQM;efqm-criterio2;Cultura y liderazgo, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-08-12-efqm-criterio2 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio2.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-12-efqm-criterio2
2026-08-13;17:00;x;NORMAS;iso-17025;ISO 17025: Competencia de laboratorios. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-08-13-iso-17025 #Calidad #ISO9001;https://www.tuconsultor.com/social-img/iso-17025.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-13-iso-17025
2026-08-14;17:00;x;EFQM;efqm-criterio3;Implicar a los grupos de interés: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-08-14-efqm-criterio3 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio3.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-14-efqm-criterio3
2026-08-15;17:00;x;NORMAS;iatf-16949;El error más común al implantar IATF 16949 (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-08-15-iatf-16949 #Calidad #ISO9001;https://www.tuconsultor.com/social-img/iatf-16949.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-15-iatf-16949
2026-08-16;17:00;x;EFQM;efqm-criterio4;Crear valor sostenible: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-08-16-efqm-criterio4 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio4.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-16-efqm-criterio4
2026-08-17;17:00;x;NORMAS;marcado-ce;¿Es Marcado CE para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-08-17-marcado-ce #Calidad #ISO9001;https://www.tuconsultor.com/social-img/marcado-ce.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-17-marcado-ce
2026-08-18;17:00;x;EFQM;efqm-criterio5;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-08-18-efqm-criterio5 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio5.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-18-efqm-criterio5
2026-08-19;17:00;x;NORMAS;iso-14001;ISO 14001: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-08-19-iso-14001 #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/iso-14001.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-19-iso-14001
2026-08-20;17:00;x;EFQM;efqm-criterio6;Percepción de los grupos de interés: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-08-20-efqm-criterio6 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio6.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-20-efqm-criterio6
2026-08-21;17:00;x;NORMAS;emas;¿Qué es EMAS y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-08-21-emas #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/emas.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-21-emas
2026-08-22;17:00;x;EFQM;efqm-criterio7;Rendimiento estratégico y operativo, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-08-22-efqm-criterio7 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio7.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-22-efqm-criterio7
2026-08-23;17:00;x;NORMAS;huella-de-carbono;Huella de Carbono · ISO 14064: Mide y verifica tus emisiones. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-08-23-huella-de-carbono #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/huella-de-carbono.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-23-huella-de-carbono
2026-08-24;17:00;x;EFQM;efqm-radar;La lógica RADAR: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-08-24-efqm-radar #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-radar.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-24-efqm-radar
2026-08-25;17:00;x;NORMAS;iso-14068;El error más común al implantar ISO 14068 (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-08-25-iso-14068 #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/iso-14068.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-25-iso-14068
2026-08-26;17:00;x;EFQM;efqm-gap;Informe de GAP: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-08-26-efqm-gap #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-gap.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-26-efqm-gap
2026-08-27;17:00;x;NORMAS;memoria-gri;¿Es Memoria GRI para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-08-27-memoria-gri #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/memoria-gri.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-27-memoria-gri
2026-08-28;17:00;x;EFQM;efqm-autoevaluacion;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-08-28-efqm-autoevaluacion #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-autoevaluacion.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-28-efqm-autoevaluacion
2026-08-29;17:00;x;NORMAS;einf;EINF: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-08-29-einf #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/einf.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-29-einf
2026-08-30;17:00;x;EFQM;efqm-planes;Planes de acción: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-08-30-efqm-planes #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-planes.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-30-efqm-planes
2026-08-31;17:00;x;NORMAS;csrd;¿Qué es CSRD y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-08-31-csrd #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/csrd.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-31-csrd
2026-09-01;17:00;x;EFQM;efqm-memoria;La memoria EFQM, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-09-01-efqm-memoria #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-memoria.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-01-efqm-memoria
2026-09-02;17:00;x;NORMAS;esg;ESG: Estrategia ambiental, social y de gobernanza. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-09-02-esg #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/esg.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-02-esg
2026-09-03;17:00;x;EFQM;efqm-sello;Sellos EFQM 300 · 400 · 500: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-09-03-efqm-sello #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-sello.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-03-efqm-sello
2026-09-04;17:00;x;NORMAS;iso-50001;El error más común al implantar ISO 50001 (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-09-04-iso-50001 #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/iso-50001.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-04-iso-50001
2026-09-05;17:00;x;EFQM;efqm-evaluacion-externa;Evaluación externa: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-09-05-efqm-evaluacion-externa #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-evaluacion-externa.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-05-efqm-evaluacion-externa
2026-09-06;17:00;x;NORMAS;iso-14006;¿Es ISO 14006 para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-09-06-iso-14006 #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/iso-14006.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-06-iso-14006
2026-09-07;17:00;x;EFQM;efqm-vs-iso;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-09-07-efqm-vs-iso #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-vs-iso.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-07-efqm-vs-iso
2026-09-08;17:00;x;NORMAS;huella-hidrica;Huella Hídrica: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-09-08-huella-hidrica #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/huella-hidrica.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-08-huella-hidrica
2026-09-09;17:00;x;EFQM;efqm-madrid-excelente;EFQM y Madrid Excelente: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-09-09-efqm-madrid-excelente #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-madrid-excelente.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-09-efqm-madrid-excelente
2026-09-10;17:00;x;NORMAS;movilidad-sostenible;¿Qué es Plan de Movilidad Sostenible y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-09-10-movilidad-sostenible #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/movilidad-sostenible.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-10-movilidad-sostenible
2026-09-11;17:00;x;EFQM;efqm-beneficios;Por qué EFQM, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-09-11-efqm-beneficios #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-beneficios.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-11-efqm-beneficios
2026-09-12;17:00;x;NORMAS;pacto-mundial;Pacto Mundial: Informes de progreso ante Naciones Unidas. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-09-12-pacto-mundial #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/pacto-mundial.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-12-pacto-mundial
2026-09-13;17:00;x;EFQM;efqm-mitos;Mitos del Modelo EFQM: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-09-13-efqm-mitos #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-mitos.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-13-efqm-mitos
2026-09-14;17:00;x;NORMAS;economia-circular;El error más común al implantar Economía Circular (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-09-14-economia-circular #Sostenibilidad #ESG;https://www.tuconsultor.com/social-img/economia-circular.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-14-economia-circular
2026-09-15;17:00;x;EFQM;efqm-primeros-pasos;Primeros pasos con EFQM: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-09-15-efqm-primeros-pasos #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-primeros-pasos.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-15-efqm-primeros-pasos
2026-09-16;17:00;x;NORMAS;iso-27001;¿Es ISO 27001 para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-09-16-iso-27001 #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/iso-27001.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-16-iso-27001
2026-09-17;17:00;x;EFQM;efqm-formacion;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-09-17-efqm-formacion #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-formacion.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-17-efqm-formacion
2026-09-18;17:00;x;NORMAS;ens;Esquema Nacional de Seguridad: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-09-18-ens #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/ens.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-18-ens
2026-09-19;17:00;x;EFQM;efqm-modelo-2025;El Modelo EFQM 2025: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-09-19-efqm-modelo-2025 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-modelo-2025.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-19-efqm-modelo-2025
2026-09-20;17:00;x;NORMAS;eni;¿Qué es Esquema Nacional de Interoperabilidad y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-09-20-eni #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/eni.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-20-eni
2026-09-21;17:00;x;EFQM;efqm-direccion;Dimensión Dirección, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-09-21-efqm-direccion #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-direccion.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-21-efqm-direccion
2026-09-22;17:00;x;NORMAS;iso-22301;ISO 22301: Continuidad de negocio. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-09-22-iso-22301 #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/iso-22301.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-22-iso-22301
2026-09-23;17:00;x;EFQM;efqm-ejecucion;Dimensión Ejecución: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-09-23-efqm-ejecucion #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-ejecucion.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-23-efqm-ejecucion
2026-09-24;17:00;x;NORMAS;plan-director-seguridad;El error más común al implantar Plan Director de Seguridad (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-09-24-plan-director-seguridad #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/plan-director-seguridad.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-24-plan-director-seguridad
2026-09-25;17:00;x;EFQM;efqm-resultados;Dimensión Resultados: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-09-25-efqm-resultados #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-resultados.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-25-efqm-resultados
2026-09-26;17:00;x;NORMAS;hacking-etico;¿Es Hacking Ético para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-09-26-hacking-etico #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/hacking-etico.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-26-hacking-etico
2026-09-27;17:00;x;EFQM;efqm-criterio1;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-09-27-efqm-criterio1 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio1.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-27-efqm-criterio1
2026-09-28;17:00;x;NORMAS;test-de-intrusion;Test de Intrusión: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-09-28-test-de-intrusion #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/test-de-intrusion.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-28-test-de-intrusion
2026-09-29;17:00;x;EFQM;efqm-criterio2;Cultura y liderazgo: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-09-29-efqm-criterio2 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio2.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-29-efqm-criterio2
2026-09-30;17:00;x;NORMAS;bia;¿Qué es Análisis de Impacto de Negocio (BIA) y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-09-30-bia #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/bia.png;https://www.tuconsultor.com/blog/post.html?p=2026-09-30-bia
2026-10-01;17:00;x;EFQM;efqm-criterio3;Implicar a los grupos de interés, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-10-01-efqm-criterio3 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio3.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-01-efqm-criterio3
2026-10-02;17:00;x;NORMAS;pci-dss;PCI DSS: Seguridad en pagos con tarjeta. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-10-02-pci-dss #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/pci-dss.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-02-pci-dss
2026-10-03;17:00;x;EFQM;efqm-criterio4;Crear valor sostenible: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-10-03-efqm-criterio4 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio4.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-03-efqm-criterio4
2026-10-04;17:00;x;NORMAS;rgpd;El error más común al implantar RGPD y LOPDGDD (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-10-04-rgpd #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/rgpd.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-04-rgpd
2026-10-05;17:00;x;EFQM;efqm-criterio5;Funcionamiento y transformación: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-10-05-efqm-criterio5 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio5.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-05-efqm-criterio5
2026-10-06;17:00;x;NORMAS;iso-27701;¿Es ISO 27701 para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-10-06-iso-27701 #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/iso-27701.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-06-iso-27701
2026-10-07;17:00;x;EFQM;efqm-criterio6;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-10-07-efqm-criterio6 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio6.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-07-efqm-criterio6
2026-10-08;17:00;x;NORMAS;nis2;NIS2: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-10-08-nis2 #Ciberseguridad #ISO27001;https://www.tuconsultor.com/social-img/nis2.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-08-nis2
2026-10-09;17:00;x;EFQM;efqm-criterio7;Rendimiento estratégico y operativo: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-10-09-efqm-criterio7 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio7.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-09-efqm-criterio7
2026-10-10;17:00;x;NORMAS;une-19601;¿Qué es UNE 19601 y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-10-10-une-19601 #Compliance #Cumplimiento;https://www.tuconsultor.com/social-img/une-19601.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-10-une-19601
2026-10-11;17:00;x;EFQM;efqm-radar;La lógica RADAR, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-10-11-efqm-radar #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-radar.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-11-efqm-radar
2026-10-12;17:00;x;NORMAS;iso-37001;ISO 37001: Antisoborno. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-10-12-iso-37001 #Compliance #Cumplimiento;https://www.tuconsultor.com/social-img/iso-37001.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-12-iso-37001
2026-10-13;17:00;x;EFQM;efqm-gap;Informe de GAP: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-10-13-efqm-gap #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-gap.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-13-efqm-gap
2026-10-14;17:00;x;NORMAS;iso-37301;El error más común al implantar ISO 37301 (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-10-14-iso-37301 #Compliance #Cumplimiento;https://www.tuconsultor.com/social-img/iso-37301.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-14-iso-37301
2026-10-15;17:00;x;EFQM;efqm-autoevaluacion;Autoevaluación EFQM: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-10-15-efqm-autoevaluacion #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-autoevaluacion.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-15-efqm-autoevaluacion
2026-10-16;17:00;x;NORMAS;une-19602;¿Es UNE 19602 para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-10-16-une-19602 #Compliance #Cumplimiento;https://www.tuconsultor.com/social-img/une-19602.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-16-une-19602
2026-10-17;17:00;x;EFQM;efqm-planes;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-10-17-efqm-planes #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-planes.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-17-efqm-planes
2026-10-18;17:00;x;NORMAS;canal-de-denuncias;Canal de Denuncias: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-10-18-canal-de-denuncias #Compliance #Cumplimiento;https://www.tuconsultor.com/social-img/canal-de-denuncias.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-18-canal-de-denuncias
2026-10-19;17:00;x;EFQM;efqm-memoria;La memoria EFQM: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-10-19-efqm-memoria #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-memoria.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-19-efqm-memoria
2026-10-20;17:00;x;NORMAS;prevencion-blanqueo;¿Qué es Prevención de Blanqueo de Capitales y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-10-20-prevencion-blanqueo #Compliance #Cumplimiento;https://www.tuconsultor.com/social-img/prevencion-blanqueo.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-20-prevencion-blanqueo
2026-10-21;17:00;x;EFQM;efqm-sello;Sellos EFQM 300 · 400 · 500, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-10-21-efqm-sello #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-sello.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-21-efqm-sello
2026-10-22;17:00;x;NORMAS;informes-soc;Informes SOC: Confianza para tus clientes (SOC 1/2). Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-10-22-informes-soc #Compliance #Cumplimiento;https://www.tuconsultor.com/social-img/informes-soc.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-22-informes-soc
2026-10-23;17:00;x;EFQM;efqm-evaluacion-externa;Evaluación externa: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-10-23-efqm-evaluacion-externa #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-evaluacion-externa.png;https://www.tuconsultor.com/blog/post.html?p=2026-10-23-efqm-evaluacion-externa
